size,step,mean_success,std_success,count
100k,10000,0.82,0.0,1
100k,20000,0.98,0.0,1
100k,30000,1.0,0.0,1
100k,40000,0.96,0.0,1
100k,50000,1.0,0.0,1
100k,60000,1.0,0.0,1
100k,70000,1.0,0.0,1
100k,80000,1.0,0.0,1
100k,90000,0.96,0.0,1
100k,100000,1.0,0.0,1
100k,110000,1.0,0.0,1
100k,120000,1.0,0.0,1
100k,130000,0.98,0.0,1
100k,140000,0.98,0.0,1
100k,150000,0.96,0.0,1
100k,160000,0.98,0.0,1
10k,10000,0.0,0.0,1
10k,20000,0.48,0.0,1
10k,30000,0.8,0.0,1
10k,40000,0.98,0.0,1
10k,50000,0.96,0.0,1
10k,60000,0.96,0.0,1
10k,70000,1.0,0.0,1
10k,80000,0.98,0.0,1
10k,90000,0.98,0.0,1
10k,100000,0.98,0.0,1
10k,110000,0.98,0.0,1
10k,120000,0.92,0.0,1
10k,130000,1.0,0.0,1
10k,140000,1.0,0.0,1
10k,150000,1.0,0.0,1
10k,160000,1.0,0.0,1
10k,170000,1.0,0.0,1
10k,180000,0.98,0.0,1
10k,190000,0.98,0.0,1
10k,200000,1.0,0.0,1
10k,210000,1.0,0.0,1
10k,220000,1.0,0.0,1
10k,230000,1.0,0.0,1
10k,240000,0.96,0.0,1
10k,250000,0.98,0.0,1
10k,260000,1.0,0.0,1
10k,270000,1.0,0.0,1
10k,280000,0.98,0.0,1
10k,290000,1.0,0.0,1
10k,300000,1.0,0.0,1
1k,10000,0.0,0.0,1
1k,20000,0.0,0.0,1
1k,30000,0.0,0.0,1
1k,40000,0.0,0.0,1
1k,50000,0.0,0.0,1
1k,60000,0.0,0.0,1
1k,70000,0.0,0.0,1
1k,80000,0.0,0.0,1
1k,90000,0.0,0.0,1
1k,100000,0.0,0.0,1
1k,110000,0.0,0.0,1
1k,120000,0.0,0.0,1
1k,130000,0.0,0.0,1
1k,140000,0.0,0.0,1
1k,150000,0.0,0.0,1
1k,160000,0.0,0.0,1
1k,170000,0.0,0.0,1
1k,180000,0.0,0.0,1
1k,190000,0.0,0.0,1
1k,200000,0.0,0.0,1
1k,210000,0.0,0.0,1
1k,220000,0.0,0.0,1
1k,230000,0.0,0.0,1
1k,240000,0.0,0.0,1
1k,250000,0.0,0.0,1
1k,260000,0.0,0.0,1
1k,270000,0.0,0.0,1
1k,280000,0.0,0.0,1
1k,290000,0.0,0.0,1
1k,300000,0.0,0.0,1
1k,310000,0.0,0.0,1
1k,320000,0.0,0.0,1
1k,330000,0.0,0.0,1
1k,340000,0.0,0.0,1
1k,350000,0.0,0.0,1
1k,360000,0.0,0.0,1
1k,370000,0.0,0.0,1
1k,380000,0.0,0.0,1
1k,390000,0.0,0.0,1
1k,400000,0.0,0.0,1
1k,410000,0.0,0.0,1
1k,420000,0.0,0.0,1
1k,430000,0.0,0.0,1
1k,440000,0.0,0.0,1
1k,450000,0.0,0.0,1
1k,460000,0.0,0.0,1
1k,470000,0.0,0.0,1
1k,480000,0.0,0.0,1
1k,490000,0.0,0.0,1
1m,5000,0.10800000000000001,0.048166378315169185,5
1m,10000,0.472,0.06418722614352489,5
1m,15000,0.5920000000000001,0.05019960159204452,5
1m,20000,0.672,0.05019960159204453,5
1m,25000,0.764,0.055497747702046414,5
1m,30000,0.8399999999999999,0.0748331477354788,5
1m,35000,0.9039999999999999,0.04335896677735758,5
1m,40000,0.8720000000000001,0.010954451150103333,5
1m,45000,0.9480000000000001,0.017888543819998336,5
1m,50000,0.944,0.03286335345030994,5
250k,10000,0.64,0.0,1
250k,20000,0.8,0.0,1
250k,30000,0.96,0.0,1
250k,40000,1.0,0.0,1
250k,50000,1.0,0.0,1
250k,60000,1.0,0.0,1
250k,70000,1.0,0.0,1
250k,80000,1.0,0.0,1
250k,90000,1.0,0.0,1
250k,100000,0.92,0.0,1
500k,10000,0.46,0.0,1
500k,20000,0.78,0.0,1
500k,30000,0.94,0.0,1
500k,40000,0.96,0.0,1
500k,50000,0.98,0.0,1
500k,60000,0.94,0.0,1
500k,70000,1.0,0.0,1
500k,80000,0.98,0.0,1
500k,90000,1.0,0.0,1
500k,100000,1.0,0.0,1
